Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1970;69.82292857142856;1999;116.57899999999998;1970;123.69117142857142;1971;131.04549999999998;1975;22.872999999999998;1975;68.83548571428572;1975;104.75884285714288;1978;0.16902857142857144;1978;3.2346;1975;2.7648571428571427;1986;402.67072857142864;1988;0.0;1975;0.10850000000000001;1984;0.0;1985;9.0237;1975;265.1939;1983;252.18080000000003;1969;0.6442714285714286;1968;0.9415571428571429;1975;5.0447999999999995;1991;2.7091999999999996;1984;298.5479714285715;1986;0.0;1975;0.0;1975;3.2332428571428578;
1971;70.57592857142856;2000;118.6155142857143;1971;126.76395714285714;1984;144.23659999999998;1976;21.468099999999996;1976;69.5026;1976;98.29060000000001;1979;0.4497;1980;4.390285714285715;1976;2.8496999999999995;1987;377.38835714285716;1998;0.0;1976;0.1956;1985;0.0;1986;9.376328571428571;1976;215.3476714285714;1984;274.1489142857143;1971;0.35269999999999996;1969;0.04458571428571428;1976;3.028871428571428;1992;2.1603999999999997;1985;360.7505285714286;1993;0.0;1976;0.0;1976;0.08248571428571429;
1972;69.9167;2001;115.67004285714286;1972;126.39891428571427;1985;153.1962;1977;20.385571428571428;1977;72.48415714285714;1977;101.79915714285713;1980;0.21652857142857143;1982;2.6561142857142856;1977;4.3598;1988;328.73207142857143;2000;0.0;1977;0.2738285714285715;1986;0.0;1988;0.0;1977;252.34414285714283;1985;332.7124142857142;1973;0.7090714285714286;1970;0.0;1977;1.8100857142857143;1993;1.0204000000000002;1986;278.9497714285714;1994;0.0;1977;0.0;1977;3.0E-4;
1973;68.14055714285713;2002;117.84397142857144;1973;132.67265714285716;1986;163.2508857142857;1978;22.300857142857144;1978;71.80522857142857;1978;110.46121428571429;1981;0.3012000000000001;1983;1.4687;1978;4.360414285714286;1989;330.9366285714286;2001;0.0;1978;0.16290000000000002;1987;0.0;1989;0.3723571428571429;1978;244.43742857142857;1986;367.3033571428572;1974;2.2694999999999994;1971;0.24351428571428574;1978;1.1261999999999999;1994;1.626628571428571;1987;289.10632857142855;1995;0.0;1978;0.0;1978;0.0;
1974;80.32172857142857;2003;102.2449;1974;149.01701428571428;1987;147.62562857142856;1979;24.376514285714286;1979;81.02665714285713;1979;115.31664285714285;1982;0.1332;1984;1.4838857142857143;1981;3.0886285714285715;1990;327.5533;2002;0.0;1979;0.0030857142857142854;1988;0.0;1991;0.0;1979;238.24741428571429;1987;336.2064142857143;1975;2.3041000000000005;1972;0.0;1979;0.7609000000000001;1995;2.8587999999999996;1988;318.1327999999999;1996;0.0;1979;0.0;1979;0.0;
1975;74.66938571428571;2004;112.74741428571429;1975;137.5413142857143;1988;144.23659999999998;1980;24.3073;1980;78.20138571428572;1980;116.0421857142857;1983;0.15979999999999997;1985;3.594285714285714;1982;2.0138428571428575;1991;341.3825;2004;0.0;1980;0.7142;1989;0.0;1992;0.0;1980;172.81712857142855;1988;320.9481;1976;1.4393142857142858;1973;0.535;1980;1.2062000000000002;1996;3.2967000000000004;1989;270.9779;1997;0.0;1980;0.0;1980;0.0;
1976;75.2471;2005;111.67884285714285;1976;129.68712857142856;1989;144.44784285714286;1981;23.928942857142854;1981;73.35782857142858;1981;109.39312857142859;1984;0.10362857142857143;1986;2.9744999999999995;1984;1.5020000000000002;1992;334.7279142857143;2005;0.0;1981;0.01802857142857143;1990;0.0;1993;0.0;1981;225.56854285714286;1989;328.08211428571434;1987;0.2549428571428572;1974;1.7786571428571427;1981;1.1592;1997;2.046528571428571;1990;271.96430000000004;2000;0.0;1981;0.0;1981;0.0;
1977;77.76964285714284;2006;120.78885714285714;1977;139.1767;1990;151.90628571428576;1982;20.7786;1982;74.82640000000002;1982;107.8013;1991;0.053;1987;1.333757142857143;1985;4.138242857142857;1993;332.3669999999999;2006;0.0;1982;0.004557142857142857;1991;0.0;1994;0.0;1982;284.7506428571428;1990;315.9258571428572;1988;0.6538285714285713;1975;0.5694285714285715;1982;1.0355;1998;2.6503;1991;304.1740571428572;2001;0.0;1982;0.0;1982;0.0;
1978;81.9068857142857;2007;109.8266;1978;147.89397142857143;1991;136.7314857142857;1983;18.090100000000003;1983;66.10585714285715;1983;93.92934285714284;1992;0.053;1988;2.9152;1986;4.1913857142857145;1994;315.90221428571425;2007;0.0;1983;0.007699999999999999;1992;0.0;1995;3.658942857142857;1983;259.0077999999999;1991;347.9662571428571;1989;0.7991;1976;0.2393857142857143;1983;0.9770000000000001;1999;0.9437857142857142;1992;276.3915;2002;0.0;1983;0.0;1983;0.0;
1979;85.1108;2008;110.70352857142858;1979;158.76102857142857;1992;138.3809;1984;21.107657142857143;1984;63.267242857142854;1984;99.99505714285715;1993;0.1191;1989;3.9186;1987;2.7033857142857136;1995;338.02840000000003;2008;0.0;1984;6.259128571428571;1993;0.0;1996;0.0;1984;266.59011428571426;1992;340.7961;1995;0.24752857142857138;1977;0.04582857142857142;1984;1.7509999999999997;2000;1.9003;1993;291.26327142857144;2003;0.0;1984;0.0;1984;0.0;
1980;97.51315714285714;2009;128.94025714285715;1980;172.45017142857142;1993;135.48849999999996;1985;23.418371428571422;1985;71.66184285714286;1985;118.97000000000003;1994;0.053;1991;1.9688285714285712;1988;2.6422285714285714;1996;295.5558714285714;2009;0.0;1985;3.6832;1994;0.0;1998;0.0;1985;264.33219999999994;1993;354.079;1996;0.2159;1978;0.0034142857142857143;1985;6.595757142857144;2001;3.493099999999999;1994;329.7349;2004;0.0;1985;0.0;1985;2.9524000000000004;
1981;83.503;2010;110.70352857142858;1981;160.11190000000002;1994;135.48849999999996;1986;24.206614285714284;1986;75.3224;1986;120.44582857142856;1995;0.0408;1992;0.9869285714285715;1989;6.58662857142857;1997;339.7372142857143;2011;0.0;1986;4.740585714285714;1995;0.0;2001;0.0;1986;331.73034285714283;1994;333.9492428571429;2004;0.3705857142857143;1979;0.0;1986;4.2249428571428576;2002;0.8812428571428571;1995;336.74717142857145;2005;0.0;1986;0.0;1986;2.8652285714285712;
1982;83.60325714285715;2011;105.3503142857143;1982;162.6274857142857;1995;129.7755;1987;21.76865714285714;1987;60.81905714285714;1987;99.65177142857144;1996;0.053;1993;1.4957571428571428;1990;3.3354857142857144;1998;283.6843857142857;2012;0.001042857142857143;1987;0.0;1998;0.0;2003;0.0;1987;316.3845428571429;1995;289.21174285714284;2009;0.27138571428571423;1980;0.0;1987;2.0426285714285717;2003;1.1038;1996;317.4459428571428;2006;0.0;1988;0.0;1987;0.0;
1983;75.44027142857144;2012;114.91324285714286;1983;144.5905857142857;1996;126.95489999999998;1988;25.2786;1988;54.913442857142854;1988;96.43577142857141;1997;0.12507142857142856;1994;0.8578428571428571;1991;1.599;1999;306.8609571428571;2013;0.0;1988;0.0;1999;0.0;2008;0.5366428571428571;1988;318.8236;1996;281.1468;2015;0.0;1981;0.0;1988;4.535185714285714;2004;1.3846142857142856;1997;308.8995;2008;0.0;1989;0.0;1988;0.0;
1984;74.67001428571427;2013;116.8732142857143;1984;143.50125714285713;1997;151.09221428571428;1989;28.017228571428575;1989;61.73239999999999;1989;103.43769999999999;1998;0.017528571428571428;1995;0.7355571428571429;1992;1.7730857142857144;2000;297.4243;2014;0.0;1989;0.0731142857142857;2000;0.0;2009;0.45499999999999996;1989;270.65474285714294;1997;353.3169714285714;2016;0.0;1982;0.0;1989;6.374214285714286;2005;1.121114285714286;1998;255.5821857142857;2009;0.0;1992;0.0;1989;1.9510428571428575;
1985;75.05514285714285;2014;111.51487142857142;1985;152.88998571428573;1998;127.0113142857143;1990;27.117314285714283;1990;62.13819999999999;1990;99.82254285714285;1999;0.0212;1996;1.6966142857142856;1993;1.2309857142857141;2001;300.8179285714286;2016;0.004085714285714285;1991;0.0;2001;0.0;2010;0.12442857142857144;1990;254.66694285714286;1998;296.51647142857144;2017;0.0;1984;0.0;1990;2.658828571428571;2006;1.8030714285714284;1999;302.87795714285716;2010;0.0;1994;0.0;1990;0.0;
1986;80.22298571428571;2015;101.06134285714286;1986;163.6012142857143;1999;126.81050000000002;1991;24.756028571428573;1991;60.5203;1991;94.59755714285713;2000;0.013899999999999997;1997;5.400442857142857;1994;1.4421142857142857;2002;286.5801714285714;2017;0.05569999999999999;1993;0.0;2003;0.0;2011;0.29307142857142854;1991;291.8502142857143;1999;315.0504857142857;2018;0.0;1985;1.305;1991;2.2228857142857144;2007;1.1038;2000;294.52;2011;0.0;1995;0.0;1991;0.0;
1987;70.1310857142857;2016;98.90959999999998;1987;149.34925714285714;2000;142.6015;1992;24.306399999999996;1992;53.86290000000001;1992;86.09671428571428;2001;0.0669;1998;0.6802;1995;1.8491571428571427;2003;289.47174285714283;2018;0.0;1995;1.0428;2004;0.0;2012;0.0348;1992;283.3067857142857;2000;277.20885714285714;2019;0.0;1986;0.8944714285714285;1992;1.8316;2008;4.729500000000001;2001;302.8323714285715;2012;0.0;1996;0.0;1992;0.0;
1988;68.5018;2017;91.9003;1988;143.67415714285715;2001;136.77600000000004;1993;23.414971428571427;1993;52.824128571428574;1993;83.70927142857143;2002;0.11389999999999999;1999;0.6991714285714287;1996;3.7622428571428577;2004;290.51501428571424;2019;0.0;1996;1.1481714285714284;2005;0.0;2014;0.0;1993;302.15914285714285;2001;312.0482714285714;null;null;1987;0.0;1993;1.3085285714285713;2009;6.043799999999999;2002;318.4815571428571;2013;0.0;1998;0.0;1993;0.0;
1989;67.4195;2018;94.5483857142857;1989;145.31124285714287;2002;131.25314285714288;1994;22.872114285714286;1994;55.2011;1994;84.66048571428571;2003;0.12507142857142856;2000;2.2516857142857143;1997;5.436042857142857;2005;281.0804142857143;null;null;1997;0.5215428571428572;2010;0.0;2016;0.0;1994;282.0;2002;302.86942857142856;null;null;1988;0.1410142857142857;1994;1.6028285714285713;2010;5.3120714285714286;2003;339.5834714285715;2014;0.0;1999;0.0;1994;0.0;
1990;71.0390857142857;2019;91.1332;1990;154.5841142857143;2003;125.20772857142856;1995;23.65382857142857;1995;61.935871428571424;1995;91.77864285714286;2004;0.05165714285714286;2001;1.647142857142857;1998;0.6686;2006;268.7412142857143;null;null;1998;0.05220000000000001;2011;0.0;2017;0.0;1995;295.7807142857143;2003;302.49549999999994;null;null;1989;0.4776142857142857;1995;1.6019285714285716;2011;1.6955571428571425;2004;328.5822285714286;2016;0.0;2000;0.0;1995;0.7967142857142857;
1991;65.62160000000002;null;null;1991;139.3682;2004;131.65302857142856;1996;22.153914285714283;1996;55.39461428571428;1996;88.51278571428573;2005;0.0408;2002;1.4914;1999;1.6588571428571428;2007;253.70499999999998;null;null;2000;0.036899999999999995;2012;0.0;2018;0.0;1996;283.2455714285714;2004;308.1689428571429;null;null;1990;0.002471428571428572;1996;2.1423;2012;1.1455857142857142;2005;295.5160285714286;2017;0.0;2001;0.0;1996;3.0914285714285716;
