Alt;-99999.0;Alt;-99999.0;Alt;-99999.0;Alt;-99999.0;Alt;-99999.0;Alt;-99999.0;Alt;-99999.0;Alt;-99999.0;Alt;173.0;Alt;90.0;Alt;28.0;Alt;49.0;Alt;38.0;Alt;165.0;Alt;119.0;Alt;71.0;Alt;60.0;Alt;94.0;Alt;22.0;Alt;18.0;Alt;9.0;Alt;148.0;Alt;130.0;Alt;-99999.0;Alt;37.0;Alt;216.0;Alt;174.0;Alt;172.0;Alt;186.0;Alt;166.0;Alt;122.0;Alt;111.0;Alt;93.0;Alt;49.0;Alt;35.0;Alt;201.0;Alt;34.0;Alt;62.0;Alt;15.0;Alt;7.0;Alt;48.0;Alt;30.0;Alt;86.0;
Basin area;1130.0;Basin area;2630.0;Basin area;16300.0;Basin area;4690.0;Basin area;32900.0;Basin area;2200.0;Basin area;3870.0;Basin area;724.0;Basin area;5480.0;Basin area;4750.0;Basin area;23400.0;Basin area;5930.0;Basin area;35400.0;Basin area;3730.0;Basin area;3000.0;Basin area;13200.0;Basin area;15400.0;Basin area;1320.0;Basin area;24000.0;Basin area;25200.0;Basin area;25500.0;Basin area;4510.0;Basin area;3590.0;Basin area;17200.0;Basin area;20300.0;Basin area;3660.0;Basin area;6060.0;Basin area;4710.0;Basin area;5750.0;Basin area;6890.0;Basin area;15000.0;Basin area;5320.0;Basin area;27300.0;Basin area;32700.0;Basin area;37200.0;Basin area;5560.0;Basin area;43800.0;Basin area;3060.0;Basin area;49900.0;Basin area;4210.0;Basin area;1610.0;Basin area;3990.0;Basin area;12600.0;
River;RIO CAETÉ;River;RIO PIRIÁ;River;RIO GURUPI;River;RIO URAIM;River;RIO GURUPI;River;RIO MARACACUME;River;RIO TURIAÇU;River;RIO PARUÁ;River;RIO PINDARÉ;River;RIO BURITICUPU;River;RIO PINDARÉ;River;RIO ZUTIUA;River;RIO PINDARÉ;River;RIO MEARIM;River;RIO CORDA OU CAPIM;River;RIO MEARIM;River;RIO MEARIM;River;RIO DAS FLORES;River;RIO MEARIM;River;RIO MEARIM;River;RIO MEARIM;River;RIO GRAJAÚ;River;RIO SANTANA;River;RIO GRAJAÚ;River;RIO GRAJAÚ;River;RIO ITAPECURU;River;RIO ITAPECURU;River;RIO ALPERCATAS;River;RIO ALPERCATAS;River;RIO ALPERCATAS;River;RIO ITAPECURU;River;RIO CORRENTES;River;RIO ITAPECURU;River;RIO ITAPECURU;River;RIO ITAPECURU;River;RIO CODOZINHO;River;RIO ITAPECURU;River;RIO PIRITORÓ;River;RIO ITAPECURU;River;RIO MUNIM;River;RIO PRETO;River;RIO PRETO;River;RIO MUNIM;
Municipality;BRAGANÇA;Municipality;VISEU;Municipality;PARAGOMINAS;Municipality;PARAGOMINAS;Municipality;VISEU;Municipality;CÂNDIDO MENDES;Municipality;MONÇÃO;Municipality;TURIAÇU;Municipality;AÇAILÂNDIA;Municipality;SANTA LUZIA;Municipality;ALTO ALEGRE DO PINDARÉ;Municipality;SANTA LUZIA;Municipality;PINDARÉ-MIRIM;Municipality;GRAJAU;Municipality;BARRA DO CORDA;Municipality;BARRA DO CORDA;Municipality;BARRA DO CORDA;Municipality;PRESIDENTE DUTRA;Municipality;PEDREIRAS;Municipality;SÃO LUÍS GONZAGA DO MARANHÃO;Municipality;BACABAL;Municipality;GRAJAU;Municipality;GRAJAU;Municipality;PAULO RAMOS;Municipality;BELA VISTA DO MARANHÃO;Municipality;SÃO DOMINGOS DO AZEITÃO;Municipality;MIRADOR;Municipality;FERNANDO FALCÃO;Municipality;MIRADOR;Municipality;MIRADOR;Municipality;COLINAS;Municipality;BURITI BRAVO;Municipality;GOVERNADOR EUGENIO BARROS;Municipality;CAXIAS;Municipality;CODÓ;Municipality;CODÓ;Municipality;COROATA;Municipality;PIRAPEMAS;Municipality;CANTANHEDE;Municipality;VARGEM GRANDE;Municipality;MATA ROMA;Municipality;SÃO BENEDITO DO RIO PRETO;Municipality;NINA RODRIGUES;





Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1965;20.21092857142857;1976;50.38042857142857;1981;55.03838571428572;1986;69.34697142857144;1975;389.5497999999999;1972;0.6223571428571428;1972;38.82521428571429;1983;1.4289142857142854;1982;2.2205;1980;0.7045285714285715;2000;85.43377142857142;1973;8.68902857142857;1972;16.543514285714288;1979;19.138085714285715;1982;19.171899999999997;1964;43.55801428571429;1972;43.39641428571428;1972;0.3937714285714286;1979;64.13598571428572;1990;62.81977142857143;1976;63.49207142857143;1978;16.66952857142857;1980;4.691000000000001;2000;21.330014285714288;1971;14.951500000000001;1999;20.37972857142857;1968;13.105514285714284;2001;27.14001428571428;1972;25.689085714285714;1971;26.58385714285714;1969;44.93915714285714;1973;1.6669571428571428;1976;47.99007142857143;1964;40.568942857142865;1969;61.33999999999999;1975;6.458757142857144;1975;95.83822857142857;1985;0.6455571428571429;1969;63.72385714285714;1972;4.768228571428572;2000;2.9977714285714288;1975;39.31532857142857;1966;18.60815714285714;
1966;5.974042857142857;1977;24.951742857142857;1982;63.31218571428571;1987;51.94447142857143;1976;278.0313714285714;1973;6.5216;1974;49.57844285714286;1984;5.027757142857142;1983;0.9437428571428571;1981;0.4398;2001;69.28014285714286;1974;4.597685714285714;1973;86.43432857142857;1980;18.50607142857143;1983;16.798400000000004;1966;40.9338;1973;41.00881428571429;1973;1.0934285714285714;1980;57.32084285714286;1991;58.72649999999999;1977;55.65785714285715;1979;10.682528571428573;1981;2.804314285714286;2001;11.039057142857143;1972;10.0228;2000;18.2301;1969;14.659728571428571;2002;25.754785714285713;1973;26.245857142857147;1972;24.922328571428572;1970;40.97382857142856;1975;2.7267714285714284;1977;46.59791428571429;1965;30.733885714285716;1970;49.553828571428575;1976;6.003042857142857;1976;67.8297857142857;1986;5.340885714285714;1970;57.12227142857143;1973;21.31624285714286;2001;4.331557142857143;1976;23.216885714285713;1969;35.82555714285714;
1967;34.17891428571428;1978;27.118485714285715;1983;38.11995714285714;1988;53.423785714285714;1977;393.0118428571428;1974;5.225214285714285;1975;56.10998571428571;1985;11.105942857142859;1984;2.7160571428571427;1982;1.4769714285714284;2002;48.596585714285716;1975;6.904857142857144;1974;86.5121857142857;1981;15.537914285714285;1984;19.231014285714284;1969;50.849399999999996;1974;44.07714285714286;1974;1.1429571428571428;1981;46.85642857142857;1992;53.78900000000001;1978;61.248157142857146;1980;9.476714285714285;1982;2.9149999999999996;2002;10.142228571428571;1973;45.104385714285705;2001;16.644357142857142;1970;12.889985714285714;2003;24.251685714285713;1974;26.201085714285718;1973;26.050942857142854;1971;41.313571428571436;1976;1.7893428571428571;1978;52.481371428571435;1966;29.745628571428572;1971;43.69958571428572;1977;4.701614285714285;1977;70.1952857142857;1987;5.853414285714286;1971;46.84798571428571;1974;4.389757142857143;2002;3.9826;1977;36.62834285714286;1971;8.331785714285715;
1968;6.381014285714286;1979;4.641100000000001;1984;69.31451428571428;1989;59.68524285714285;1978;350.0041;1975;2.6746142857142856;1976;26.940214285714287;1986;12.914557142857143;1985;4.8047571428571425;1983;0.20984285714285708;2003;32.2258;1976;7.490328571428572;1975;62.85535714285715;1982;13.704442857142855;1985;20.202699999999997;1970;48.66094285714286;1975;75.85012857142858;1975;1.4455857142857145;1982;47.90242857142857;1993;41.27337142857142;1979;66.7561857142857;1981;6.172485714285714;1983;1.2881428571428573;2003;7.6166857142857145;1974;36.75541428571429;2002;13.404785714285714;1971;11.917428571428571;2004;22.015242857142855;1975;36.05238571428571;1974;25.975057142857143;1972;38.880428571428574;1977;1.2972571428571429;1979;52.50405714285713;1969;48.485428571428564;1972;44.9289;1978;3.6777285714285712;1978;64.88657142857143;1988;0.43847142857142857;1972;46.014242857142854;1975;19.08178571428571;2003;6.582400000000001;1978;19.48052857142857;1972;23.89574285714286;
1969;43.267742857142856;1980;11.854014285714287;1987;74.12205714285713;1990;65.66131428571428;1979;191.5600857142857;1976;12.9837;1977;50.93410000000001;1987;1.5956285714285714;1986;11.823757142857144;1984;2.311842857142857;2004;43.28771428571429;1977;6.945914285714285;1976;112.71731428571427;1983;14.64457142857143;1986;26.5618;1971;47.3082;1976;58.96558571428572;1976;1.5048285714285714;1983;36.469257142857145;1994;64.55757142857144;1980;59.09845714285715;1982;4.556357142857143;1984;1.9574428571428568;2004;2.6751;1975;56.27018571428571;2003;12.0016;1972;11.341228571428571;2005;25.40625714285714;1976;31.40028571428571;1975;37.712399999999995;1973;39.88478571428572;1978;2.0747857142857145;1980;49.080357142857146;1970;44.784085714285716;1973;64.54905714285715;1979;2.5313857142857144;1979;65.30978571428571;1989;2.3871428571428575;1973;107.16372857142856;1976;14.496371428571427;2004;6.1439142857142865;1979;14.874542857142858;1973;55.19231428571429;
1970;6.9887;1981;4.7772;1995;87.57847142857143;1991;48.804271428571425;1980;248.43624285714284;1977;1.0996857142857142;1978;38.69242857142858;1988;7.394685714285714;1987;3.647242857142857;1985;1.9094714285714285;2005;27.986985714285712;1978;8.301914285714286;1977;39.93698571428571;1984;15.844700000000001;1987;24.4717;1972;42.28025714285714;1977;57.172342857142844;1977;1.0734142857142857;1984;43.123957142857144;1995;51.4104;1981;49.1200142857143;1983;5.670371428571428;1985;3.4868857142857146;2005;12.477742857142857;1976;36.06315714285714;2004;12.125200000000001;1973;12.80252857142857;2006;27.140342857142855;1977;30.254814285714286;1976;32.19448571428571;1974;42.06211428571428;1979;1.323157142857143;1981;46.10324285714285;1971;43.104328571428574;1974;50.445271428571424;1980;2.3788999999999993;1980;57.37265714285714;1991;1.5934428571428572;1974;55.23847142857143;1977;4.997571428571428;2005;2.6232285714285717;1980;14.390528571428572;1974;20.743528571428573;
1971;15.982500000000002;1982;10.9458;1996;121.61525714285715;1992;33.893414285714286;1981;130.4528;1978;2.600942857142857;1979;7.490771428571429;1989;8.256;1988;5.6095;1986;4.839514285714286;2006;65.39714285714285;1979;3.0471714285714286;1978;55.13005714285714;1985;27.073714285714285;1988;24.488599999999998;1973;41.97465714285714;1978;70.39842857142858;1978;1.4239714285714287;1985;44.054700000000004;1996;74.4992;1982;50.19978571428572;1984;7.151842857142857;1988;3.1703285714285707;2006;13.297457142857143;1977;15.50377142857143;2005;14.804914285714288;1974;15.551414285714285;2007;25.286300000000004;1978;33.20724285714286;1977;31.403900000000004;1975;64.46877142857143;1980;1.1797000000000002;1982;44.773;1972;38.275885714285714;1975;84.10801428571428;1981;1.3575;1981;48.27175714285714;1992;0.0;1975;83.29614285714285;1978;9.582099999999999;2006;3.3174999999999994;1981;7.2305714285714275;1975;65.5265;
2000;30.177885714285715;1983;1.509985714285714;1997;84.40374285714286;1993;30.684885714285713;1982;183.1568142857143;1979;0.8725285714285713;1980;25.4668;1993;0.7933714285714286;1989;9.500914285714286;1987;2.7404571428571427;2007;36.65050000000001;1980;2.1436285714285717;1979;37.618814285714286;1986;19.684328571428576;1989;25.865800000000004;1974;46.135771428571424;1979;66.41278571428572;1979;1.1237;1986;85.7889857142857;1997;57.24917142857144;1983;39.28017142857143;1985;16.462899999999998;1989;3.0871714285714282;2007;7.449642857142858;1978;30.6501;2006;13.581814285714286;1975;15.652357142857143;2008;25.359357142857142;1979;36.24877142857143;1978;35.86642857142858;1976;51.4086;1981;0.8189428571428571;1983;41.13124285714286;1973;49.61430000000001;1976;59.141614285714276;1982;1.9371000000000005;1982;52.61685714285714;1993;0.8474;1976;71.6747;1979;3.7555142857142862;2007;3.529371428571428;1982;5.274057142857143;1976;52.8975;
2001;38.99751428571428;1984;5.761657142857142;1998;67.75507142857143;1994;45.97435714285713;1983;80.9008;1980;0.5574;1981;4.294871428571429;1994;17.30752857142857;1990;5.857300000000001;1988;1.9403714285714286;2008;49.4199;1981;1.2338857142857143;1980;52.483514285714286;1987;16.085885714285716;1990;23.3735;1975;70.5076142857143;1980;59.69114285714285;1980;0.9337714285714286;1987;55.358785714285716;1998;36.231;1984;44.76485714285714;1986;9.308328571428572;1990;3.095985714285714;2008;8.139999999999999;1979;32.792657142857145;2007;14.626314285714285;1976;14.371057142857142;2009;24.569214285714285;1980;34.85454285714286;1979;35.5791;1977;51.90981428571428;1982;1.0425714285714285;1984;49.86018571428571;1974;46.43384285714286;1977;58.739599999999996;1983;0.7706714285714288;1983;41.4134;1994;10.938642857142858;1977;75.22404285714286;1980;1.9578000000000002;2008;3.2333285714285718;1983;2.4083142857142854;1977;22.666214285714286;
