Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1971;141.87803333333332;2000;306.70201;1971;273.2939733333333;1971;282.71296;1976;47.75707333333333;1976;180.82330000000005;1976;373.64491666666675;1978;9.811143333333337;1978;166.10025666666664;1976;135.19374666666667;1986;903.7936533333335;1976;35.554759999999995;1985;41.200019999999995;1988;156.77302000000006;1976;1005.1960999999998;1984;3780.830520000001;1969;36.68917999999999;1976;475.73555333333326;1992;54.12379333333333;1985;2925.716023333334;1993;136.25123333333332;1976;648.5756766666667;1976;934.0674866666666;
1972;145.9998933333333;2001;504.07438333333334;1972;288.94848999999994;1984;457.6970133333333;1977;65.28807666666665;1977;226.99655666666666;1977;420.09458666666666;1979;20.00847;1980;114.71775;1977;229.08978666666664;1987;1116.6320233333333;1977;28.60665;1986;35.770836666666675;1989;240.9726533333333;1977;1474.6298466666663;1985;2091.82233;1970;146.79282333333333;1977;292.7223366666666;1993;292.9310100000001;1986;1876.1242166666666;1994;422.61773999999997;1977;435.0807766666666;1977;589.7164999999999;
1973;234.16656333333327;2002;247.3856833333334;1973;466.5281800000001;1985;595.9941666666668;1978;72.56712;1978;321.9545133333333;1978;630.2707566666667;1980;8.264209999999999;1982;88.65171;1978;347.65878333333336;1988;1042.7641266666667;1978;25.253383333333336;1987;49.38282666666668;1991;211.13587666666666;1978;1525.7101333333333;1986;1443.4550066666668;1971;65.07148666666669;1978;291.2000766666667;1994;974.1941033333334;1987;1966.99011;1995;355.4995733333334;1978;115.2616566666667;1978;142.95555333333337;
1974;164.8599566666667;2003;424.7140466666667;1974;322.70787333333334;1986;416.93314;1979;91.05863333333332;1979;328.2637766666666;1979;851.1056966666666;1981;7.066696666666668;1983;40.24447333333334;1980;130.26117000000002;1989;1529.1233633333336;1979;189.1091166666667;1988;22.31199333333333;1992;51.07520666666666;1979;2646.9128000000005;1987;1580.563536666667;1972;146.40929333333332;1979;764.8637999999999;1995;881.9010000000002;1988;2718.54959;1996;189.71576666666664;1979;538.6729433333334;1979;855.6775600000001;
1975;168.60883333333334;2004;412.04526;1975;326.31822999999997;1987;374.9749566666667;1980;62.31992666666668;1980;244.84288333333336;1980;585.1412066666666;1982;8.442560000000002;1984;109.37901000000002;1981;47.80348333333334;1990;1002.7897233333335;1980;373.7980966666666;1989;68.41863333333335;1993;163.08080666666666;1980;1751.6117133333332;1988;1695.225416666667;1973;1051.4751133333334;1980;487.6875433333334;1996;653.3330533333332;1989;2001.2567833333333;2000;185.5912033333333;1980;182.70839333333336;1980;294.3241966666666;
1976;192.36953999999997;2005;329.38407333333333;1976;368.2790333333334;1988;365.08826666666664;1981;41.32966666666666;1981;214.85447666666667;1981;396.78027333333324;1983;6.3267999999999995;1985;128.28676999999996;1982;42.44274333333333;1991;1326.5284499999996;1981;46.39826000000001;1990;10.14752333333333;1994;183.46996000000004;1981;1051.2400733333334;1989;2034.732166666667;1974;208.8150166666667;1981;154.74818666666667;1997;100.83654000000001;1990;1470.8185233333338;2001;159.81995666666668;1981;271.61401;1981;352.2880633333333;
1977;259.72030333333333;2006;349.28276666666676;1977;516.5525033333332;1989;566.1973933333335;1982;40.96572666666666;1982;189.5733166666666;1982;343.6324933333334;1984;14.120643333333337;1986;47.65003333333334;1984;204.0563633333333;1992;753.2685066666668;1982;10.099873333333331;1991;79.24071;1995;161.18550333333332;1982;1009.0754233333336;1990;1271.642063333333;1975;114.20973333333333;1982;85.91720666666666;1998;310.7548399999999;1991;1560.9496066666663;2002;126.41778000000001;1982;42.47515666666666;1982;71.7439666666667;
1978;350.42467000000005;2007;356.07032999999996;1978;676.4551233333334;1990;423.76232999999996;1983;49.13872333333334;1983;183.17062333333337;1983;437.3127566666666;1991;13.594653333333332;1987;44.13908333333333;1985;168.69101666666668;1993;650.8712433333333;1983;117.72250000000003;1992;3.59581;1997;69.06998333333333;1983;1245.62805;1991;1876.2559700000004;1976;138.28198333333333;1983;943.4805033333333;1999;540.2364266666666;1992;723.0190333333334;2003;271.84044666666665;1983;880.2734966666667;1983;1255.5443966666667;
1979;512.2584866666668;2008;360.8798333333334;1979;920.1517166666666;1991;550.5167566666667;1984;61.26692333333333;1984;245.28579333333337;1984;856.6511166666668;1992;5.12353;1988;68.86636999999999;1986;66.89876666666667;1994;829.97803;1984;466.5557966666667;1993;18.990596666666665;1998;152.82833666666662;1984;2779.4783999999995;1992;895.1719999999999;1977;42.48527333333332;1984;2538.0503466666673;2000;262.1687833333333;1993;1553.8710233333331;2004;91.05376666666665;1984;1136.3655033333332;1984;1918.6636033333334;
1980;247.15995666666672;2009;229.38975666666667;1980;500.07673666666665;1992;292.25794666666667;1985;61.42686333333333;1985;212.2178300000001;1985;560.1035433333333;1993;9.47457666666667;1990;50.35164666666667;1987;75.88125333333333;1995;654.3117966666666;1985;192.01284;1994;26.70593;2001;230.51485333333326;1985;1655.6191999999996;1993;1270.7850366666667;1978;34.31983000000002;1985;1381.1249033333331;2001;309.2377266666667;1994;2500.6867766666664;2005;272.35878333333335;1985;1086.3868666666667;1985;1599.5022800000002;
