Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;
Lat;-9.1131;Lat;-8.2708;Lat;-7.5667;Lat;-7.3808;Lat;-7.3908;Lat;-7.5344;Lat;-7.0819;Lat;-9.58;Lat;-8.7925;Lat;-7.2475;Lat;-6.7614;Lat;-6.9731;Lat;-7.2342;Lat;-6.6222;Lat;-5.5719;Lat;-5.135;Lat;-5.2231;Lat;-5.6664;Lat;-5.2025;Lat;-3.4539;Lat;-4.4097;Lat;-3.9028;Lat;-3.7239;
Lon;-45.9261;Lon;-45.6683;Lon;-45.2544;Lon;-44.8267;Lon;-44.6142;Lon;-46.0358;Lon;-44.8139;Lon;-45.0292;Lon;-44.2058;Lon;-43.6433;Lon;-43.0278;Lon;-42.1061;Lon;-42.5439;Lon;-42.6969;Lon;-43.0242;Lon;-42.8111;Lon;-41.7375;Lon;-42.2136;Lon;-42.6967;Lon;-42.37;Lon;-42.1814;Lon;-42.2297;Lon;-41.9742;
Alt;266.0;Alt;-99999.0;Alt;197.0;Alt;210.0;Alt;160.0;Alt;263.0;Alt;177.0;Alt;341.0;Alt;220.0;Alt;150.0;Alt;134.0;Alt;160.0;Alt;138.0;Alt;95.0;Alt;104.0;Alt;49.0;Alt;180.0;Alt;80.0;Alt;60.0;Alt;22.0;Alt;53.0;Alt;56.0;Alt;48.0;
Basin area;12900.0;Basin area;25500.0;Basin area;31300.0;Basin area;35300.0;Basin area;15600.0;Basin area;9040.0;Basin area;24700.0;Basin area;750.0;Basin area;31000.0;Basin area;47000.0;Basin area;140000.0;Basin area;29100.0;Basin area;34400.0;Basin area;73700.0;Basin area;235000.0;Basin area;237000.0;Basin area;19200.0;Basin area;43400.0;Basin area;51400.0;Basin area;298000.0;Basin area;4910.0;Basin area;11200.0;Basin area;21800.0;
River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO URUÇUÍ PRETO;River;RIO DAS BALSAS;River;RIO DAS BALSAS;River;RIO CONTRATO;River;RIO GURGUÉIA;River;RIO GURGUÉIA;River;RIO PARANAÍBA;River;RIO CANINDÉ;River;RIO PIAUÍ;River;RIO CANINDÉ;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO POTI;River;RIO POTI;River;RIO POTI;River;RIO PARANAÍBA;River;RIO LONGÁ;River;RIO LONGÁ;River;RIO LONGÁ;
Municipality;ALTO PARNAÍBA;Municipality;TASSO FRAGOSO;Municipality;RIBEIRO GONÇALVES;Municipality;URUÇUÍ;Municipality;URUÇUÍ;Municipality;BALSAS;Municipality;SÃO FÉLIX DE BALSAS;Municipality;MONTE ALEGRE DO PIAUÍ;Municipality;CRISTINO CASTRO;Municipality;JERUMENHA;Municipality;BARÃO DE GRAJAÚ;Municipality;OEIRAS;Municipality;SÃO FRANCISCO DO PIAUÍ;Municipality;FRANCISCO AYRES;Municipality;PALMEIRAIS;Municipality;TERESINA;Municipality;CASTELO DO PIAUÍ;Municipality;PRATA DO PIAUÍ;Municipality;TERESINA;Municipality;LUZILÂNDIA;Municipality;BARRAS;Municipality;ESPERANTINA;Municipality;SÃO JOSÉ DO DIVINO;





Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1968;390.8248;1997;373.5323;1968;602.6254;1968;566.3766;1973;71.5013;1973;300.6728;1973;1034.8333;1975;13.3434;1975;57.6502;1973;440.1914;1983;1604.4452;1973;775.3154;1982;33.8902;1983;669.8959;1973;2996.352;1981;1482.3457;1964;1025.586;1973;2721.6995;1989;1504.2383;1982;1936.1459;1984;633.5653;1973;1528.8271;1973;2642.7913;
1969;423.8685;1998;556.0196;1969;634.3277;1969;681.664;1974;70.1219;1974;227.1637;1974;552.9512;1976;18.3117;1976;118.4197;1974;180.7295;1984;2344.3323;1974;168.3175;1983;77.5297;1984;1188.0725;1974;1325.192;1982;2707.8582;1967;806.0165;1974;2074.4243;1990;2276.104;1983;2996.0225;1985;700.9016;1974;1096.6256;1974;1633.9467;
1970;299.871;1999;589.4238;1970;393.5665;1970;382.3848;1975;49.6227;1975;226.2852;1975;508.8105;1977;41.0044;1977;167.6239;1975;168.2954;1985;1976.8362;1975;161.5574;1984;274.0558;1985;646.9824;1975;1472.328;1983;2415.6477;1968;688.077;1975;864.8847;1991;1529.5635;1984;5874.9233;1992;74.6095;1975;843.452;1975;1102.1823;
1971;237.2772;2000;663.9652;1971;352.048;1971;355.7876;1976;73.9367;1976;267.4856;1976;737.5582;1978;23.8853;1978;206.4784;1976;188.7211;1986;1305.0149;1976;98.9449;1985;62.3275;1988;301.1287;1976;1417.928;1984;5558.954;1969;198.7743;1976;1801.026;1992;299.5315;1985;3459.408;1993;210.6672;1976;1220.3962;1976;1638.1721;
1972;252.0213;2001;975.2714;1972;437.5579;1984;713.8009;1977;87.2522;1977;354.7719;1977;665.596;1979;45.6932;1980;144.6269;1977;364.7381;1987;1415.9663;1977;91.7295;1986;63.8599;1989;502.2134;1977;2072.648;1985;2787.7676;1970;589.9542;1977;1540.8251;1993;795.0839;1986;2459.2256;1994;705.6466;1977;713.2196;1977;939.0805;
1973;362.0329;2002;412.5588;1973;596.8907;1985;1041.1218;1978;84.3112;1978;559.1522;1978;1111.7145;1980;20.4172;1982;270.5204;1978;471.5604;1988;1603.0024;1978;144.2298;1987;107.9523;1991;343.8303;1978;2088.968;1986;2271.4878;1971;330.9303;1978;913.2212;1994;2202.833;1987;3133.527;1995;496.9387;1978;238.2884;1978;326.012;
1974;260.2166;2003;663.4639;1974;475.917;1986;622.1804;1979;117.2161;1979;445.2807;1979;1041.5181;1981;22.8169;1983;65.8642;1980;221.6747;1989;1852.008;1979;467.0356;1988;41.9472;1992;183.2742;1979;3786.752;1987;2706.157;1972;564.7572;1979;1676.0836;1995;1576.4037;1988;3386.7444;1996;482.594;1979;759.7993;1979;1571.057;
1975;274.1137;2004;717.5313;1975;470.4044;1987;539.5049;1980;79.6045;1980;392.1047;1980;837.6718;1982;26.8512;1984;129.2161;1981;162.1716;1990;1486.9279;1980;1088.5405;1989;165.1752;1993;331.0826;1980;2765.952;1988;2271.4878;1973;1267.3202;1980;1156.3904;1996;1895.856;1989;2503.4155;2000;308.6044;1980;504.901;1980;784.6181;
1976;358.8898;2005;432.1361;1976;793.6662;1988;536.8505;1981;49.6227;1981;350.4449;1981;603.1298;1983;19.7556;1985;146.6932;1982;66.0497;1991;1821.1499;1981;139.023;1990;30.034;1994;575.8689;1981;1458.632;1989;2914.3865;1974;468.1806;1981;652.3608;1997;412.3303;1990;2277.9243;2001;450.4481;1981;568.287;1981;603.205;
