Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1970;100.55300520547954;1999;197.79385983606522;1970;197.44618767123288;1971;209.27596311475375;1975;33.461044535519136;1975;113.20579371584692;1975;201.69963114754094;1978;2.553952602739724;1978;43.62065369863015;1975;22.44543797814209;1986;608.2829526027394;1988;1.8397213698630142;1975;11.737184153005472;1984;10.803572602739735;1985;118.11129369863025;1975;570.2772732240433;1983;450.9646781420766;1969;2.240538356164381;1968;39.10171315068496;1975;98.90500573770494;1991;51.93334234972672;1984;1069.9610676712336;1986;47.80833671232874;1975;129.02790437158467;1975;206.38741338797814;
1971;100.42417506849306;2000;184.78102630137008;1971;200.3080509589041;1984;229.62392712328776;1976;31.02977561643835;1976;107.23367287671235;1976;175.0214783561646;1979;2.271969589041099;1980;43.296393715847024;1976;32.56103397260273;1987;561.8026532786879;1998;0.9528057534246577;1976;4.814432876712329;1985;19.727199726027386;1986;40.62916027397258;1976;535.5156528767121;1984;747.5281419178082;1971;2.3899483606557372;1969;19.549529589041068;1976;40.22320219178081;1992;33.706225479451994;1985;1528.5081123287682;1993;14.474872328767137;1976;78.20886328767122;1976;115.50821205479446;
1972;96.30246284153017;2001;206.24255178082205;1972;189.27513087431697;1985;293.29381150684947;1977;33.34397013698633;1977;116.56568493150695;1977;194.82024712328808;1980;3.5786144808743154;1982;15.148798904109587;1977;48.064287123287734;1988;566.2858589041086;2000;0.4217731506849314;1977;9.470696712328769;1986;4.177623287671229;1988;31.573563835616483;1977;623.8682657534252;1985;1146.9322545205482;1973;4.843705479452058;1970;6.01770438356165;1977;75.02480356164374;1993;49.952098904109604;1986;772.8065756164386;1994;38.09347753424655;1977;98.27810136986302;1977;152.02842164383563;
1973;105.60974794520543;2002;170.94296821917806;1973;204.8431172602739;1986;237.7328356164383;1978;39.15533534246573;1978;145.1418134246577;1978;256.5825876712329;1981;1.788984931506851;1983;17.39268356164385;1978;79.65516054794513;1989;684.8498794520543;2001;5.3376101369863;1978;6.667733698630137;1987;6.221973770491805;1989;52.85970821917811;1978;755.5842254794524;1986;673.4141824657538;1974;20.07795616438356;1971;18.999290710382525;1978;67.56326849315062;1994;64.80939972602751;1987;639.3751360655735;1995;70.41390054644805;1978;64.08010082191781;1978;85.2151339726027;
1974;127.84847890410964;2003;178.45755573770506;1974;249.97974493150667;1987;241.64545163934454;1979;39.01333415300551;1979;133.88464289617488;1979;248.13349781420774;1982;1.1907158904109576;1984;15.294962021857927;1981;32.31895424657534;1990;527.0851254794516;2002;0.19865643835616445;1979;21.48388469945356;1988;5.009360273972602;1991;30.343996448087417;1979;683.7898825136614;1987;632.2274849726778;1975;6.1866046448087495;1972;11.450987397260283;1979;87.98414426229495;1995;179.73615546448087;1988;768.3173205479454;1996;40.78675315068492;1979;59.81259672131145;1979;95.06169699453542;
1975;110.02331260273978;2004;186.00824246575368;1975;220.43263068493138;1988;228.4022479452054;1980;35.74217917808223;1980;123.85886301369865;1980;211.56959643835617;1983;1.559726575342465;1985;44.033693150684925;1982;14.417098630136977;1991;546.3691420765019;2004;0.39045863013698634;1980;22.503404383561662;1989;9.561706301369862;1992;11.845051780821919;1980;573.1308479452053;1988;630.2728635616446;1976;3.7857413698630102;1973;41.7187969863014;1980;30.311764383561645;1996;137.41929616438347;1989;1018.0888969863018;1997;23.3670895890411;1980;15.232787945205482;1980;25.128555616438376;
1976;114.3107172131149;2005;183.5073643835615;1976;221.3628409836065;1989;266.9461468493154;1981;33.98070438356163;1981;127.3472221917809;1981;231.87383123287677;1984;2.2427333333333332;1986;22.01031643835617;1984;37.96868109589046;1992;432.6498320547947;2005;1.2051717808219187;1981;16.16564219178086;1990;2.1567104109589024;1993;25.83816958904109;1981;611.3837208219177;1989;882.890084931507;1987;1.8900909836065563;1974;146.10806986301372;1981;37.948977260273956;1997;62.063600273972625;1990;536.2340399999999;2000;30.886162465753436;1981;25.74772410958903;1981;42.63114410958905;
1977;121.31955178082201;2006;194.2648000000001;1977;235.1089369863013;1990;231.29530849315083;1982;28.583996164383553;1982;110.53876767123299;1982;177.37230821917805;1991;2.0306665753424644;1987;13.015127123287675;1985;68.36034684931505;1993;413.489829863014;2006;5.212703561643837;1982;1.3374701369863014;1991;8.20539836065574;1994;23.36442493150685;1982;480.98032821917786;1990;595.0217953424661;1988;3.897959999999998;1975;36.11669535519126;1982;20.020986575342494;1998;35.95497397260279;1991;628.6340797814206;2001;28.536513424657535;1982;26.959126027397264;1982;38.77012410958899;
1978;142.8864728767124;2007;155.04104754098375;1978;273.48868876712334;1991;236.7093521857923;1983;27.95876693989067;1983;96.67447650273232;1983;156.43870655737697;1992;1.5594374316939874;1988;17.886890983606555;1986;22.9839123287671;1994;477.25434493150664;2007;0.47195355191256827;1983;4.94213442622951;1992;1.03773506849315;1995;45.71562076502729;1983;435.8891407103825;1991;672.5850237704922;1989;5.0784904109589055;1976;12.69005123287671;1983;22.210830054644788;1999;89.3038177595628;1992;440.8593632876712;2002;24.103017534246575;1983;27.210769945355196;1983;40.55376448087429;
1979;150.44236246575358;2008;182.0973619178083;1979;284.79401534246546;1992;200.7447356164382;1984;32.691255068493106;1984;107.32128602739719;1984;234.31934273972604;1993;1.6313942465753415;1989;42.020715616438345;1987;24.637817486338776;1995;502.7481789617486;2008;2.495708493150685;1984;46.94727068493155;1993;3.4062665753424657;1996;34.56703013698628;1984;634.3728027397257;1992;488.6246939726028;1995;3.312165027322402;1977;20.669606301369843;1984;257.0329353424657;2000;85.69937945205477;1993;519.8483180821917;2003;42.195275409836064;1984;231.66493397260277;1984;336.7676512328766;
