Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;Gauge code;3;
Lat;-9.1131;Lat;-8.2708;Lat;-7.5667;Lat;-7.3808;Lat;-7.3908;Lat;-7.5344;Lat;-7.0819;Lat;-9.58;Lat;-8.7925;Lat;-7.2475;Lat;-6.7614;Lat;-6.9731;Lat;-7.2342;Lat;-6.6222;Lat;-5.5719;Lat;-5.135;Lat;-5.2231;Lat;-5.6664;Lat;-5.2025;Lat;-3.4539;Lat;-4.4097;Lat;-3.9028;Lat;-3.7239;
Lon;-45.9261;Lon;-45.6683;Lon;-45.2544;Lon;-44.8267;Lon;-44.6142;Lon;-46.0358;Lon;-44.8139;Lon;-45.0292;Lon;-44.2058;Lon;-43.6433;Lon;-43.0278;Lon;-42.1061;Lon;-42.5439;Lon;-42.6969;Lon;-43.0242;Lon;-42.8111;Lon;-41.7375;Lon;-42.2136;Lon;-42.6967;Lon;-42.37;Lon;-42.1814;Lon;-42.2297;Lon;-41.9742;
Alt;266.0;Alt;-99999.0;Alt;197.0;Alt;210.0;Alt;160.0;Alt;263.0;Alt;177.0;Alt;341.0;Alt;220.0;Alt;150.0;Alt;134.0;Alt;160.0;Alt;138.0;Alt;95.0;Alt;104.0;Alt;49.0;Alt;180.0;Alt;80.0;Alt;60.0;Alt;22.0;Alt;53.0;Alt;56.0;Alt;48.0;
Basin area;12900.0;Basin area;25500.0;Basin area;31300.0;Basin area;35300.0;Basin area;15600.0;Basin area;9040.0;Basin area;24700.0;Basin area;750.0;Basin area;31000.0;Basin area;47000.0;Basin area;140000.0;Basin area;29100.0;Basin area;34400.0;Basin area;73700.0;Basin area;235000.0;Basin area;237000.0;Basin area;19200.0;Basin area;43400.0;Basin area;51400.0;Basin area;298000.0;Basin area;4910.0;Basin area;11200.0;Basin area;21800.0;
River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO URUÇUÍ PRETO;River;RIO DAS BALSAS;River;RIO DAS BALSAS;River;RIO CONTRATO;River;RIO GURGUÉIA;River;RIO GURGUÉIA;River;RIO PARANAÍBA;River;RIO CANINDÉ;River;RIO PIAUÍ;River;RIO CANINDÉ;River;RIO PARANAÍBA;River;RIO PARANAÍBA;River;RIO POTI;River;RIO POTI;River;RIO POTI;River;RIO PARANAÍBA;River;RIO LONGÁ;River;RIO LONGÁ;River;RIO LONGÁ;
Municipality;ALTO PARNAÍBA;Municipality;TASSO FRAGOSO;Municipality;RIBEIRO GONÇALVES;Municipality;URUÇUÍ;Municipality;URUÇUÍ;Municipality;BALSAS;Municipality;SÃO FÉLIX DE BALSAS;Municipality;MONTE ALEGRE DO PIAUÍ;Municipality;CRISTINO CASTRO;Municipality;JERUMENHA;Municipality;BARÃO DE GRAJAÚ;Municipality;OEIRAS;Municipality;SÃO FRANCISCO DO PIAUÍ;Municipality;FRANCISCO AYRES;Municipality;PALMEIRAIS;Municipality;TERESINA;Municipality;CASTELO DO PIAUÍ;Municipality;PRATA DO PIAUÍ;Municipality;TERESINA;Municipality;LUZILÂNDIA;Municipality;BARRAS;Municipality;ESPERANTINA;Municipality;SÃO JOSÉ DO DIVINO;





Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1968;378.57730000000004;1997;310.98627999999997;1968;541.37004;1968;533.29714;1973;66.59331999999999;1973;281.0715;1973;956.9420399999999;1975;9.58392;1975;56.95076;1973;305.35484;1983;1478.3943;1973;621.37812;1982;31.91094;1983;410.39061999999996;1973;2793.0464;1981;1296.2518599999999;1964;920.47342;1973;2485.34972;1989;1133.54108;1982;1745.8084;1984;602.15412;1973;1484.9796000000001;1973;2584.4580199999996;
1969;355.09066;1998;413.8058;1969;541.32158;1969;516.10804;1974;57.72524;1974;182.62214;1974;457.04048;1976;12.4689;1976;112.67594;1974;90.30521999999999;1984;2181.58598;1974;112.85748000000001;1983;68.69288;1984;978.8806200000001;1974;1136.7674;1982;2342.7447;1967;620.8401200000001;1974;1118.525;1990;1738.55602;1983;2961.2684600000002;1985;654.5788200000001;1974;1040.6611200000002;1974;1572.89638;
1970;250.94975999999997;1999;539.23214;1970;356.36738;1970;357.36142;1975;48.1707;1975;182.41289999999998;1975;429.97556000000003;1977;28.43822;1977;159.49012000000002;1975;78.52040000000001;1985;1767.6069799999998;1975;124.95300000000002;1984;240.72798000000003;1985;472.13901999999996;1975;1250.5616;1983;1993.2725800000003;1968;483.5625;1975;713.1322600000001;1991;1253.50108;1984;5783.219120000001;1992;49.69554;1975;759.05648;1975;996.3055400000001;
1971;210.27172000000002;2000;583.9262;1971;326.58922;1971;334.95432;1976;63.27668;1976;265.29904;1976;677.40296;1978;17.73768;1978;200.13808;1976;178.91181999999998;1986;1265.6663400000002;1976;69.55768;1985;57.21959999999999;1988;245.15353999999996;1976;1266.9776000000002;1984;5370.88274;1969;88.15668000000001;1976;976.0446599999999;1992;172.94603999999998;1985;3212.8597800000002;1993;179.06972000000002;1976;1117.93518;1976;1566.5318599999998;
1972;198.81256000000002;2001;743.8383200000001;1972;398.80576;1984;624.25808;1977;81.65516;1977;320.01956;1977;605.74252;1979;30.4818;1980;138.41528;1977;330.98356;1987;1328.7911199999999;1977;78.1587;1986;59.10042;1989;395.51988;1977;1928.352;1985;2572.2154600000003;1970;342.81524;1977;775.64168;1993;572.55244;1986;2298.1644;1994;666.8389000000001;1977;627.4635999999999;1977;784.2961799999999;
1973;293.14842;2002;334.95728;1973;552.13858;1985;947.90278;1978;80.92236;1978;514.92452;1978;1026.2575199999999;1980;16.3454;1982;204.48726000000002;1978;463.43532000000005;1988;1308.9395399999999;1978;81.053;1987;100.88068000000001;1991;286.9849;1978;1731.5456;1986;1791.63112;1971;186.49268;1978;582.6840399999999;1994;1702.14826;1987;2918.11252;1995;476.58566;1978;209.32157999999998;1978;259.36608;
1974;220.70699999999997;2003;564.3488600000001;1974;385.09875999999997;1986;501.4120199999999;1979;111.12316000000001;1979;413.67195999999996;1979;987.9749600000001;1981;21.11618;1983;62.385540000000006;1980;162.03278;1989;1749.51466;1979;387.70164;1988;32.74522;1992;128.99978000000002;1979;3560.4816;1987;2165.35164;1972;338.7284;1979;1093.79866;1995;1341.34912;1988;3294.77716;1996;411.3035;1979;698.14554;1979;1202.9063600000002;
1975;224.9619;2004;542.6751;1975;415.71040000000005;1987;451.52526;1980;73.41051999999999;1980;322.69284;1980;770.26398;1982;18.951140000000002;1984;121.80216;1981;59.23578;1990;1444.5157;1980;885.0601199999999;1989;154.25942;1993;261.24028000000004;1980;2495.7216;1988;2027.3852600000002;1973;1258.86514;1980;942.64362;1996;1392.96766;1989;2452.62414;2000;279.21837999999997;1980;421.60272;1980;613.2391799999999;
